Assembly No,Year,Male MP Count,Female MP Count
1,1920,45,0
2,1923,62,0
3,1927,61,0
4,1931,63,0
5,1935,70,4
6,1939,78,2
7,1943,91,2
8,1946,91,1
9,1950,88,2
10,1954,95,2
11,1957,107,4
12,1961,83,1
13,1965,82,2
14,1969,81,2
15,1973,83,5
16,1977,88,4
17,1983,75,6
18,1987,92,2
19,1991,94,5
20,1996,118,4
21,1999,119,10
22,2002,118,11
23,2007,110,19
24,2011,120,29
25,2015,120,32
26,2015,123,29
27,2018,135,37
