Assembly No,Year,Male MP Count,Female MP Count
1,1920,6,0
2,1923,8,0
3,1927,10,0
4,1931,10,0
5,1935,11,1
6,1939,12,0
7,1943,13,0
8,1946,14,0
9,1950,13,0
10,1954,14,0
11,1957,15,0
12,1961,11,0
13,1965,11,0
14,1969,10,0
15,1973,9,0
16,1977,9,0
17,1983,7,0
18,1987,8,0
19,1991,7,0
20,1996,9,0
21,1999,9,0
22,2002,8,0
23,2007,7,1
24,2011,6,2
25,2015,7,1
26,2015,7,1
27,2018,7,2
