Assembly No,Year,Male MP Count,Female MP Count
1,1920,6,0
2,1923,7,0
3,1927,7,0
4,1931,7,0
5,1935,10,0
6,1939,10,0
7,1943,13,0
8,1946,10,0
9,1950,11,0
10,1954,12,0
11,1957,5,0
12,1961,5,0
13,1965,5,0
14,1969,4,0
15,1973,5,0
16,1977,5,0
17,1983,5,0
18,1987,7,0
19,1991,7,0
20,1996,9,0
21,1999,9,1
22,2002,9,0
23,2007,8,1
24,2011,10,1
25,2015,9,2
26,2015,9,2
27,2018,11,3
