Assembly No,Year,Male MP Count,Female MP Count
1,1920,6,0
2,1923,4,0
3,1927,5,0
4,1931,5,0
5,1935,7,1
6,1939,7,1
7,1943,8,0
8,1946,7,0
9,1950,7,0
10,1954,8,0
11,1957,9,0
12,1961,7,0
13,1965,7,0
14,1969,7,0
15,1973,7,0
16,1977,7,0
17,1983,7,0
18,1987,8,0
19,1991,9,0
20,1996,10,0
21,1999,11,1
22,2002,13,0
23,2007,13,0
24,2011,13,1
25,2015,12,2
26,2015,12,2
27,2018,14,2
