Assembly No,Year,Male MP Count,Female MP Count
1,1920,7,0
2,1923,6,0
3,1927,5,0
4,1931,6,0
5,1935,7,0
6,1939,8,0
7,1943,7,0
8,1946,8,0
9,1950,7,0
10,1954,8,0
11,1957,9,1
12,1961,7,1
13,1965,8,0
14,1969,7,0
15,1973,7,0
16,1977,8,0
17,1983,6,0
18,1987,7,0
19,1991,6,0
20,1996,7,1
21,1999,7,1
22,2002,6,2
23,2007,7,1
24,2011,6,1
25,2015,7,0
26,2015,6,1
27,2018,8,0
