Assembly No,Year,Male MP Count,Female MP Count
1,1920,7,0
2,1923,6,0
3,1927,9,0
4,1931,9,0
5,1935,11,1
6,1939,12,0
7,1943,12,0
8,1946,12,1
9,1950,12,0
10,1954,13,0
11,1957,13,1
12,1961,11,0
13,1965,10,1
14,1969,11,0
15,1973,12,0
16,1977,11,0
17,1983,10,0
18,1987,11,0
19,1991,12,0
20,1996,14,0
21,1999,16,0
22,2002,16,0
23,2007,15,1
24,2011,15,3
25,2015,13,5
26,2015,14,4
27,2018,16,4
