Assembly No,Year,Male MP Count,Female MP Count
1,1920,9,0
2,1923,10,0
3,1927,9,0
4,1931,11,0
5,1935,12,0
6,1939,13,0
7,1943,11,1
8,1946,12,0
9,1950,12,0
10,1954,12,0
11,1957,14,0
12,1961,10,1
13,1965,10,1
14,1969,11,0
15,1973,10,0
16,1977,11,0
17,1983,10,0
18,1987,9,0
19,1991,9,0
20,1996,10,1
21,1999,10,0
22,2002,10,0
23,2007,10,0
24,2011,9,1
25,2015,9,0
26,2015,9,0
27,2018,9,1
