Assembly No,Year,Male MP Count,Female MP Count
1,1920,0,0
2,1923,4,0
3,1927,7,0
4,1931,6,0
5,1935,10,0
6,1939,10,0
7,1943,11,0
8,1946,9,0
9,1950,11,0
10,1954,9,1
11,1957,12,0
12,1961,9,0
13,1965,9,0
14,1969,9,0
15,1973,10,0
16,1977,9,0
17,1983,9,0
18,1987,9,0
19,1991,7,0
20,1996,6,0
21,1999,6,0
22,2002,5,0
23,2007,5,0
24,2011,5,0
25,2015,5,0
26,2015,5,0
27,2018,5,0
