Assembly No,Year,Male MP Count,Female MP Count
1,1920,7,0
2,1923,5,0
3,1927,6,0
4,1931,5,0
5,1935,10,0
6,1939,8,0
7,1943,10,0
8,1946,9,0
9,1950,9,0
10,1954,9,0
11,1957,11,0
12,1961,8,0
13,1965,8,0
14,1969,8,0
15,1973,8,0
16,1977,8,0
17,1983,7,0
18,1987,8,0
19,1991,7,0
20,1996,9,0
21,1999,7,1
22,2002,8,0
23,2007,8,0
24,2011,8,1
25,2015,8,1
26,2015,8,1
27,2018,9,1
