Assembly No,Year,Male MP Count,Female MP Count
1,1920,5,0
2,1923,5,0
3,1927,4,0
4,1931,3,0
5,1935,3,0
6,1939,5,0
7,1943,5,0
8,1946,3,0
9,1950,4,0
10,1954,4,0
11,1957,4,0
12,1961,2,0
13,1965,2,0
14,1969,2,0
15,1973,2,0
16,1977,2,0
17,1983,2,0
18,1987,2,0
19,1991,2,0
20,1996,2,0
21,1999,1,1
22,2002,2,0
23,2007,2,0
24,2011,2,0
25,2015,2,0
26,2015,2,0
27,2018,2,0
