Assembly No,Year,Male MP Count,Female MP Count
1,1920,7,0
2,1923,6,0
3,1927,7,0
4,1931,7,0
5,1935,6,0
6,1939,5,0
7,1943,5,0
8,1946,5,0
9,1950,5,0
10,1954,5,0
11,1957,5,1
12,1961,4,1
13,1965,5,0
14,1969,5,0
15,1973,5,0
16,1977,5,0
17,1983,4,0
18,1987,5,0
19,1991,4,0
20,1996,5,0
21,1999,5,0
22,2002,5,0
23,2007,5,0
24,2011,4,1
25,2015,3,1
26,2015,4,0
27,2018,4,1
