Assembly No,Year,Male MP Count,Female MP Count
1,1920,47,0
2,1923,33,0
3,1927,24,0
4,1931,20,0
5,1935,37,1
6,1939,35,0
7,1943,32,0
8,1946,35,0
9,1950,32,0
10,1954,35,0
11,1957,46,0
12,1961,35,0
13,1965,36,1
14,1969,34,0
15,1973,37,0
16,1977,36,0
17,1983,33,0
18,1987,38,0
19,1991,42,1
20,1996,51,0
21,1999,55,0
22,2002,56,1
23,2007,45,9
24,2011,46,13
25,2015,44,15
26,2015,46,13
27,2018,51,14
